Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3.0,30.0,-10.25
Query 2,1.0,10.0,0.0
Query 3,3.0,30.0,0.25
Query 4,4.0,40.0,-0.8
Query 5,1.0,10.0,0.0
Query 6,5.0,50.0,-1.85
Query 7,4.0,40.0,-6.3
Query 8,0.0,0.0,0.0
Query 9,1.0,10.0,0.0
Query 10,1.0,10.0,0.0
Query 11,4.0,40.0,0.9
Query 12,1.0,10.0,0.0
Query 13,4.0,40.0,-1.2000000000000002
Query 14,3.0,30.0,-4.5
Query 15,0.0,0.0,0.0
Query 16,0.0,0.0,0.0
Query 17,2.0,20.0,-25.0
Query 18,1.0,10.0,0.0
Query 19,1.0,10.0,0.0
Query 20,3.0,30.0,0.0
Query 21,3.0,30.0,-2.5
Query 22,1.0,10.0,0.0
Query 23,0.0,0.0,0.0
Query 24,2.0,20.0,-24.0
Query 25,3.0,30.0,-2.5
Query 26,4.0,40.0,0.0
Query 27,1.0,10.0,0.0
Query 28,3.0,30.0,-1.75
Query 29,3.0,30.0,-3.5
Query 30,1.0,10.0,0.0
Query 31,2.0,20.0,0.0
Query 32,2.0,20.0,-19.0
Query 33,3.0,30.0,-6.25
Query 34,1.0,10.0,0.0
Query 35,1.0,10.0,0.0
Query 36,2.0,20.0,-28.0
Query 37,3.0,30.0,-2.25
Query 38,3.0,30.0,-15.5
Query 39,2.0,20.0,-25.0
Query 40,1.0,10.0,0.0
Query 41,3.0,30.0,-7.5
Query 42,1.0,10.0,0.0
Query 43,5.0,50.0,-2.15
Query 44,2.0,20.0,-4.0
Query 45,1.0,10.0,0.0
Query 46,2.0,20.0,-15.0
Query 47,0.0,0.0,0.0
Query 48,2.0,20.0,-40.0
Query 49,4.0,40.0,-9.2
Query 50,2.0,20.0,-48.0
Query 51,4.0,40.0,-0.3999999999999999
Query 52,3.0,30.0,-7.75
Query 53,5.0,50.0,0.09999999999999998
Query 54,0.0,0.0,0.0
Query 55,1.0,10.0,0.0
Query 56,2.0,20.0,-4.0
Query 57,2.0,20.0,-28.0
Query 58,0.0,0.0,0.0
Query 59,1.0,10.0,0.0
Query 60,0.0,0.0,0.0
Query 61,2.0,20.0,-28.0
Query 62,5.0,50.0,-0.8
Query 63,1.0,10.0,1.0
Query 64,3.0,30.0,-19.75
Query 65,2.0,20.0,-16.0
Query 66,3.0,30.0,-2.25
Query 67,1.0,10.0,0.0
Query 68,3.0,30.0,0.25
Query 69,1.0,10.0,0.0
Query 70,3.0,30.0,-3.5
Query 71,1.0,10.0,0.0
Query 72,2.0,20.0,-3.0
Query 73,1.0,10.0,1.0
Query 74,0.0,0.0,0.0
Query 75,2.0,20.0,-12.0
Query 76,2.0,20.0,-24.0
Query 77,5.0,50.0,-1.75
Query 78,1.0,10.0,0.0
Query 79,0.0,0.0,0.0
Query 80,2.0,20.0,-19.0
Query 81,3.0,30.0,0.25
Query 82,1.0,10.0,0.0
Query 83,3.0,30.0,-4.25
Query 84,2.0,20.0,-4.0
Query 85,2.0,20.0,-4.0
Query 86,2.0,20.0,-9.0
Query 87,3.0,30.0,0.25
Query 88,2.0,20.0,-8.0
Query 89,4.0,40.0,0.7
Query 90,2.0,20.0,1.0
Query 91,1.0,10.0,0.0
Query 92,1.0,10.0,0.0
Query 93,4.0,40.0,0.6
Query 94,2.0,20.0,-3.0
Query 95,0.0,0.0,0.0
Query 96,2.0,20.0,-8.0
Query 97,2.0,20.0,-17.0
Query 98,2.0,20.0,-8.0
Query 99,1.0,10.0,0.0
Query 100,1.0,10.0,0.0
Averages,2.03,20.3,-5.3515
